food_name,scientific_name
Angelica,Angelica keiskei
Savoy_cabbage,Brassica oleracea var. sabauda
Silver_linden,Tilia argentea
Kiwi,Actinidia chinensis
Allium_onion,Allium
Garden_onion,Allium cepa
Leek,Allium porrum
Garlic,Allium sativum
Chives,Allium schoenoprasum
Lemon_verbena,Aloysia triphylla
Cashew_nut,Anacardium occidentale
Pineapple,Ananas comosus
Dill,Anethum graveolens
Custard_apple,Annona reticulata
Wild_celery,Apium graveolens
Peanut,Arachis hypogaea
Burdock,Arctium lappa
Horseradish,Armoracia rusticana
Tarragon,Artemisia dracunculus
Mugwort,Artemisia vulgaris
Asparagus,Asparagus officinalis
Oat,Avena sativa
Star_fruit,Averrhoa carambola
Brazil_nut,Bertholletia excelsa
Common_beet,Beta vulgaris
Borage,Borago officinalis
Chinese_mustard,Brassica juncea
Swede,Brassica napus
Rape,Brassica napus var. napus
Common_cabbage,Brassica oleracea
Cauliflower,Brassica oleracea var. botrytis
Brussel_sprouts,Brassica oleracea var. gemmifera
Kohlrabi,Brassica oleracea var. gongylodes
Broccoli,Brassica oleracea var. italica
Chinese_cabbage,Brassica rapa
Turnip,Brassica rapa var. rapa
Pigeon_pea,Cajanus cajan
Tea,Camellia sinensis
Capers,Capparis spinosa
Pepper_c,Capsicum annuum
Papaya,Carica papaya
Safflower,Carthamus tinctorius
Caraway,Carum carvi
Pecan_nut,Carya illinoinensis
Chestnut,Castanea
Roman_camomile,Chamaemelum nobile
Chickpea,Cicer arietinum
Endive,Cichorium endivia
Chicory,Cichorium intybus
Chinese_cinnamon,Cinnamomum aromaticum
Ceylon_cinnamon,Cinnamomum verum
Watermelon,Citrullus lanatus
Lime,Citrus aurantiifolia
Lemon,Citrus limon
Pummelo,Citrus maxima
Mandarin_orange,Citrus reticulata
Sweet_orange,Citrus sinensis
Coffee,Coffea
Arabica_coffee,Coffea arabica
Robusta_coffee,Coffea canephora
Coriander,Coriandrum sativum
Common_hazelnut,Corylus avellana
Saffron,Crocus sativus
Muskmelon,Cucumis melo
Cucumber,Cucumis sativus
Cucurbita_gourd,Cucurbita
Cumin,Cuminum cyminum
Turmeric,Curcuma longa
Quince,Cydonia oblonga
Lemon_grass,Cymbopogon citratus
Globe_artichoke,Cynara scolymus
Wild_carrot,Daucus carota
Japanese_persimmon,Diospyros kaki
Cardamom,Elettaria cardamomum
Black_crowberry,Empetrum nigrum
Loquat,Eriobotrya japonica
Rocket_salad,Eruca vesicaria ssp. sativa
Wax_apple,Eugenia
Common_buckwheat,Fagopyrum esculentum
Tartary_buckwheat,Fagopyrum tataricum
Fig,Ficus carica
Fennel,Foeniculum vulgare
Strawberry,Fragaria X ananassa
Black_huckleberry,Gaylussacia baccata
Soy_bean,Glycine max
Sunflower,Helianthus annuus
Sea-buckthornberry,Hippophae rhamnoides
Barley,Hordeum vulgare
Hyssop,Hyssopus officinalis
Star_anise,Illicium verum
Swamp_cabbage,Ipomoea aquatica
Sweet_potato,Ipomoea batatas
Black_walnut,Juglans nigra
Common_walnut,Juglans regia
Lettuce,Lactuca sativa
Grass_pea,Lathyrus sativus
Sweet_bay,Laurus nobilis
Lentils,Lens culinaris
Garden_cress,Lepidium sativum
Lovage,Levisticum officinale
Flaxseed,Linum usitatissimum
Mexican_oregano,Lippia graveolens
Lichee,Litchi chinensis
Lupine,Lupinus
Apple,Malus pumila
Mango,Mangifera indica
German_camomile,Matricaria recutita
Lemon_balm,Melissa officinalis
Mentha_mint,Mentha
Orange_mint,Mentha aquatica
Cornmint,Mentha arvensis
Spearmint,Mentha spicata
Peppermint,Mentha X piperita
Medlar,Mespilus germanica
Bitter_gourd,Momordica charantia
Mulberry,Morus
Black_mulberry,Morus nigra
Nutmeg,Myristica fragrans
Sweet_basil,Ocimum basilicum
Evening_primrose,Oenothera biennis
Olive,Olea europaea
Sweet_marjoram,Origanum majorana
Pot_marjoram,Origanum onites
Common_oregano,Origanum vulgare
Rice,Oryza sativa
Millet,Panicum miliaceum
Poppy,Papaver
Passion_fruit,Passiflora edulis
Parsnip,Pastinaca sativa
Avocado,Persea americana
Parsley,Petroselinum crispum
Scarlet_bean,Phaseolus coccineus
Lima_bean,Phaseolus lunatus
Common_bean,Phaseolus vulgaris
Date,Phoenix dactylifera
Black_chokeberry,Photinia melanocarpa
Anise,Pimpinella anisum
Pine_nut,Pinus
Pepper_spice,Piper nigrum
Pistachio,Pistacia vera
Common_pea,Pisum sativum
Purslane,Portulaca oleracea
Prunus_cherry,Prunus
Apricot,Prunus armeniaca
Sweet_cherry,Prunus avium
Sour_cherry,Prunus cerasus
European_plum,Prunus domestica
Almond,Prunus dulcis
Peach,Prunus persica
Guava,Psidium guajava
Pomegranate,Punica granatum
Pear,Pyrus communis
